year,ac_no,constituency,constituency_kn,clean_constituency,slug,category,category_kn,winner,winner_kn,winner_party,winner_party_kn,winner_votes,vote_share,runner_up,runner_up_kn,runner_up_party,runner_up_party_kn,runner_up_votes,margin,color
2023,1,Nippani,ನಿಪ್ಪಾಣಿ,nippani,nippani_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Jolle Shashikala Annasaheb,ಜೋಲ್ಲೆ ಶಶಿಕಲಾ ಅಣ್ಣಾಸಾಹೇಬ್,BJP,ಬಿಜೆಪಿ (BJP),73348,39.3,Uttam Raosaheb Patil,ಉತ್ತಮ್ ರಾವ್ಸಾಹೇಬ್ ಪಾಟೀಲ್,NCP,ಎನ್‌ಸಿಪಿ (NCP),66056,7292,#ff7f0e
2023,2,Chikkodi-Sadalga,ಚಿಕ್ಕೋಡಿ - ಸಡಲಗಾ,chikkodisadalga,chikkodisadalga_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Ganesh Prakash Hukkeri,ಗಣೇಶ್ ಪ್ರಕಾಶ್ ಹುಕ್ಕೇರಿ,INC,ಕಾಂಗ್ರೆಸ್ (INC),128349,70.2,Katti Ramesh Vishwanath,ಕತ್ತಿ ರಮೇಶ್ Vishwanath,BJP,ಬಿಜೆಪಿ (BJP),49840,78509,#1f77b4
2023,3,Athani,ಅಥಣಿ,athani,athani_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Laxman. Sangappa. Savadi,ಲಕ್ಷ್ಮಣ್ ಸಂಗ್ಲಪ್ಪ ಸವದಿ,INC,ಕಾಂಗ್ರೆಸ್ (INC),131404,68.7,Mahesh. Irangouda. Kumathalli.,Mahesh Irangouda ಕುಮಟಳ್ಳಿ,BJP,ಬಿಜೆಪಿ (BJP),55282,76122,#1f77b4
2023,4,Kagwad,ಕಾಗವಾಡ,kagwad,kagwad_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Bharamgouda Alagouda Kage,ಭರಮಗೌಡ ಆಲಗೌಡ ಕಾගේ,INC,ಕಾಂಗ್ರೆಸ್ (INC),83387,51.8,Shrimant Balasaheb Patil,Shrimant Balasaheb ಪಾಟೀಲ್,BJP,ಬಿಜೆಪಿ (BJP),74560,8827,#1f77b4
2023,5,Kudachi,ಕುಡಚಿ,kudachi,kudachi_assembly_constituency,SC,ಪರಿಶಿಷ್ಟ ಜಾತಿ (SC),Mahendra. Kallappa. Tammannavar,ಮಹೇಂದ್ರ ಕಲ್ಲಪ್ಪ ತಮ್ಮಣ್ಣವರ್,INC,ಕಾಂಗ್ರೆಸ್ (INC),85321,57.1,P. Rajeev,ಪಿ. Rajeev,BJP,ಬಿಜೆಪಿ (BJP),60078,25243,#1f77b4
2023,6,Raybag,ರಾಯಬಾಗ,raybag,raybag_assembly_constituency,SC,ಪರಿಶಿಷ್ಟ ಜಾತಿ (SC),Aihole Duryodhan Mahalingappa,ಐಹೊಳೆ ದುರ್ಯೋಧನ ಮಹಾಲಿಂಗಪ್ಪ,BJP,ಬಿಜೆಪಿ (BJP),57500,35.2,Shambhu Kallolikar,Shambhu Kallolikar,IND,ಪಕ್ಷೇತರ (IND),54930,2570,#ff7f0e
2023,7,Hukkeri,ಹುಕ್ಕೇರಿ,hukkeri,hukkeri_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Katti Nikhil Umesh,ಕತ್ತಿ ನಿಖಿಲ್ ಉಮೇಶ್,BJP,ಬಿಜೆಪಿ (BJP),103574,62.1,A.B.Patil,ಎ. ಬಿ. ಪಾಟೀಲ್,INC,ಕಾಂಗ್ರೆಸ್ (INC),61023,42551,#ff7f0e
2023,8,Arabhavi,ಅರಭಾವಿ,arabhavi,arabhavi_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Balachandra Laxmanrao Jarkiholi,ಬಾಲಚಂದ್ರ ಲಕ್ಷ್ಮಣರಾವ್ ಜಾರಕಿಹೊಳಿ,BJP,ಬಿಜೆಪಿ (BJP),115402,61.0,Bhimappa Gundappa Gadad,Bhimappa Gundappa Gadad,IND,ಪಕ್ಷೇತರ (IND),43862,71540,#ff7f0e
2023,9,Gokak,ಗೋಕಾಕ್,gokak,gokak_assembly_constituency,nan,ಸಾಮಾನ್ಯ,Jarkiholi Ramesh Laxmanrao,ಜಾರಕಿಹೊಳಿ ರಮೇಶ್ ಲಕ್ಷ್ಮಣರಾವ್,BJP,ಬಿಜೆಪಿ (BJP),105313,55.6,Kadadi Mahantesh Kallappa,Kadadi Mahantesh ಕಲ್ಲಪ್ಪ,INC,ಕಾಂಗ್ರೆಸ್ (INC),79901,25412,#ff7f0e
2023,10,Yemkanmardi,ಯಮಕನಮರಡಿ,yemkanmardi,yemkanmardi_assembly_constituency,ST,ಪರಿಶಿಷ್ಟ ಪಂಗಡ (ST),Satish Laxmanarao Jarkiholi,ಸತೀಶ್ Laxmanarao ಜಾರಕಿಹೊಳಿ,INC,ಕಾಂಗ್ರೆಸ್ (INC),100290,60.6,Basavaraj Hundri,ಬಸವರಾಜ್ Hundri,BJP,ಬಿಜೆಪಿ (BJP),43079,57211,#1f77b4
